8.06605,45.19309,100110 Traffipax Fisso coppia@70
8.07174,44.65278,130827 Box Speed Check Fisso@50
8.08092,44.59369,111003 Autobox fisso@50
8.11660,44.46777,120921 Autobox fisso compatto@50
8.13987,44.37879,130811 Box Speed Check Fisso@50
8.14339,44.80809,120502 Autobox fisso@50
8.16816,44.40948,130827 Box Speed Check Fisso@50
8.16931,45.67394,110919 Box Speed Check Fisso@50
8.17032,45.67363,110919 Box Speed Check Fisso@50
8.17293,44.42495,130827 Box Speed Check Fisso@50
8.17351,45.67423,110919 Box Speed Check Fisso@50
8.17692,45.67553,110919 Box Speed Check Fisso@50
8.17723,44.40843,130827 Box Speed Check Fisso@50
8.17733,45.67691,110919 Box Speed Check Fisso@50
8.17816,45.68551,110919 Box Speed Check Fisso@50
8.18084,45.68416,110919 Box Speed Check Fisso@50
8.18262,45.68328,110919 Box Speed Check Fisso@50
8.18272,44.40742,130827 Box Speed Check Fisso@50
8.19634,45.61315,120730 Box Speed Check Fisso@50
8.19674,45.60779,120730 Box Speed Check Fisso@50
8.19707,45.61025,120730 Box Speed Check Fisso@50
8.23110,44.11412,070202 Borghetto Santo Spirito@50
8.23901,44.81689,120520 Autobox fisso@50
8.24827,45.81686,111006 Box Speed Check Fisso@50
8.24988,45.81947,111006 Box Speed Check Fisso@50
8.25113,45.00928,130411 Autobox fisso compatto@50
8.25492,45.11825,100110 Traffipax coppia@90
8.25497,45.01207,130411 Autobox fisso compatto@50
8.26573,45.75148,120410 Box speedcheck@50
8.26614,45.75287,120412 Box Speed Check Fisso@50
8.26695,45.76481,120412 Box Speed Check Fisso@50
8.26901,45.77202,120412 Box Speed Check Fisso@50
8.26937,44.76518,Autobox Fisso - Vigili U.@70
8.27573,45.79353,111006 Box Speed Check Fisso@50
8.27810,45.79120,111006 Box Speed Check Fisso@50
8.28115,45.62326,110521 Box Speed Check Fisso@50
8.28216,45.62208,110521 Box Speed Check Fisso@50
8.28301,45.62060,110521 Box Speed Check Fisso@50
8.28329,44.15561,080430 Autovelox Fisso Vigili U.@50
8.28410,45.61998,110521 Box Speed Check Fisso@50
8.28484,45.61699,110521 Box Speed Check Fisso@50
8.28554,45.61627,110521 Box Speed Check Fisso@50
8.30855,44.15756,070916 Autovelox Fisso Vigili U.@50
8.33278,44.33691,070916 cabinetta grigia@50
8.33621,45.28358,110801 Traffipax dir VC@90
8.34737,45.29091,110801 Traffipax dir Crescentino@90
8.35861,45.10750,131006 Box Speed Check Fisso@50
8.35975,45.26428,111016 direz Trino@90
8.35997,45.26407,111016 direz Vercelli@90
8.36074,45.10744,131006 Box Speed Check Fisso@50
8.36277,45.10740,131006 Box Speed Check Fisso@50
8.36671,45.10732,131006 Box Speed Check Fisso@50
8.36953,45.10726,131006 Box Speed Check Fisso@50
8.37216,45.10720,131006 Box Speed Check Fisso@50
8.37449,45.10710,131006 Box Speed Check Fisso@50
8.37634,45.10710,131006 Box Speed Check Fisso@50
8.37844,45.57443,100924 Traffipax Fisso bidirezionale@90
